,1c,2c,3c,4c,5c,6c,7c,8c,9c
2761,1.0425664759985918,0.9167253316484242,-0.19921528061339083,-0.07002025664547923,-0.02851270068262895,-0.2194572819451849,-0.049359578379604425,0.020037985181442546,-0.010103661708087448
2762,1.1214922828162857,0.8489967617149483,-0.18236358337872685,-0.0757785877167845,-0.0718325676489218,-0.227427548427469,-0.04069126238566385,0.00357441077282877,-0.010310080964881308
2763,1.1935261943179845,0.7768788500361082,-0.16414094035457152,-0.07836348178104188,-0.11005002762159938,-0.2287617054843311,-0.029905440683125978,-0.014106212633296379,-0.013333759589952705
2764,1.2579159195952712,0.7012808995185005,-0.14473297522198272,-0.07784333117963872,-0.1436912705024081,-0.22351261897345157,-0.01866589775564095,-0.03181148064433514,-0.019232688482741043
2765,1.3141482236279,0.6229403090874264,-0.12435726001321577,-0.07430562190999342,-0.1733682808530636,-0.21187761199519317,-0.008538216929387927,-0.04840390083529293,-0.027707592717760132
2766,1.3619125378132895,0.5424087606021551,-0.10327170956670025,-0.0679438261139344,-0.19955828593562658,-0.19414945768680636,-0.0008157204966838881,-0.06288021801276271,-0.03809811928743069
2767,1.4010739716740823,0.4600741609789511,-0.0817755109371415,-0.05913204954685557,-0.22247194609783313,-0.1706980412844877,0.0035770069593018027,-0.07441486895308504,-0.049400135326723535
2768,1.4316476193463432,0.376203691579728,-0.060211958420996185,-0.04844412194254238,-0.2420025884882387,-0.14197252757985693,0.004115111479030962,-0.08238048279988822,-0.060327522543665094
2769,1.4537683450095844,0.2909958180537946,-0.038974442399014216,-0.036598929469643555,-0.2577465728985818,-0.10851614656583732,0.0006564411636809686,-0.08636203021403352,-0.06944381916830268
2770,1.4676578496344295,0.20463403158107196,-0.01850952564611832,-0.02433953495698145,-0.2690789010221864,-0.07099080939118901,-0.0066034168203952855,-0.08617658404543793,-0.0753714920351953
2771,1.473596574187939,0.11734031250799577,0.0006917146636231171,-0.012278352966401741,-0.2752582357540144,-0.030212044011911153,-0.017184578550604828,-0.08189878453722965,-0.07705299306607614
2772,1.4719072181734836,0.029425975427240937,0.01812013948998541,-0.0007580463617745998,-0.27552935123320793,0.012807959804846917,-0.030372337720660843,-0.07387847302909,-0.07400152224001073
2773,1.4629493392169077,-0.058671335435146375,0.03329177202759809,0.01022152588773157,-0.2691976983214402,0.05682156711688061,-0.04526367336849979,-0.06272940131316145,-0.06646071696734793
2774,1.4471161689122853,-0.14638564634200296,0.045798083978419446,0.020980486064669672,-0.2556719366377979,0.10033619894113023,-0.06082460726597422,-0.049272271131567534,-0.055407585312924765
2775,1.4248236524035007,-0.23307243136802908,0.055347520206188494,0.032044649697916504,-0.23449652451695288,0.14166284811706378,-0.0759734735557467,-0.034431464738102116,-0.04238173708395498
2776,1.3964917180890575,-0.31810084598369937,0.06178362128935011,0.04397498352202282,-0.20541205903301993,0.179036323204474,-0.08969015687130219,-0.01910547577181644,-0.02918515102592374
2777,1.3625323603761152,-0.40094530080619617,0.06507509571986488,0.05718839570074435,-0.16847362988642456,0.2107905491724958,-0.10112850964924754,-0.004045226569651207,-0.017538822882905036
2778,1.323363453599221,-0.48122094347570177,0.06528628026174198,0.07181059311718088,-0.1242251104709974,0.23554456105739327,-0.10969475605830849,0.010225983095213994,-0.008785631535627666
